employee_id,persona,satisfaction_score,productivity_baseline,resistance_propensity,training_times_yr,digital_dexterity,collab_density,app_activation_rt,enps_score,email_vol_daily,meetings_per_week,teams_msg_daily,tickets_per_month,ticket_category,resolution_hrs,reopened_rate,support_dependency,frustration_level,app_crash_rate,avg_load_time_sec,session_duration_min,friction_level,dex_feedback,pulse_sat,logins_per_day,failed_logins_wk,lms_completion,assessment_score,time_to_complete_hr,churn_risk_flag,is_amplifier,gmm_cluster
56e0c487-856a-4142-9c64-c2bda3802dd7,Tech Pioneer,7.915,0.858,0.118,5,8.355,0.584,0.904,74.2,63.94,9.09,35.93,0,Access / Permissions,2.45,0.251,0.0,0.132,0.006,1.45,56.1,0.082,7.67,4.09,8,1,0.872,73.7,2.69,0,0,1
22cbb02b-adad-4c2e-8f6c-d9d52a688343,Tech Pioneer,8.665,0.842,0.119,5,8.536,0.63,0.913,77.3,68.31,11.25,39.18,0,Software Install,0.21,0.043,0.0,0.021,0.015,2.98,64.0,0.045,8.07,3.99,6,1,0.839,91.3,3.73,0,0,1
8345f65c-3a69-430d-967d-84c3ce46a66c,Tech Pioneer,8.333,0.808,0.149,5,8.48,0.615,0.874,69.0,54.57,14.25,47.22,1,Access / Permissions,5.4,0.242,0.1,0.15,0.054,2.27,38.8,0.114,7.12,3.67,11,0,0.985,88.7,3.96,0,0,1
91fad0ed-d13b-48ca-bcbb-15273cbbd231,Tech Pioneer,7.71,0.818,0.12,5,8.631,0.672,0.909,73.7,72.94,11.65,30.95,1,Software Install,6.28,0.097,0.1,0.091,0.078,1.38,72.9,0.083,7.91,4.0,7,0,0.894,95.0,3.18,0,0,1
87cff81f-dd0a-4775-8bc2-fe8779e6e2bf,Tech Pioneer,8.316,0.861,0.118,4,7.975,0.589,0.881,71.5,58.83,10.5,45.98,1,Password Reset,0.16,0.156,0.1,0.072,0.055,1.88,57.6,0.071,7.72,3.7,10,0,0.897,90.7,4.43,0,0,1
fad112ae-b1ff-49db-b29d-83a6732727b6,Tech Pioneer,7.591,0.864,0.213,6,8.57,0.664,0.932,64.1,60.83,10.42,47.22,2,Software Install,0.93,0.18,0.2,0.088,0.048,1.62,58.2,0.075,6.95,3.93,9,0,0.976,85.0,2.07,0,0,1
b45a41a9-40b7-4b95-aa77-184c9d5f34d3,Tech Pioneer,9.184,0.88,0.129,5,8.433,0.613,0.833,71.0,55.02,7.87,37.17,0,Access / Permissions,4.12,0.106,0.0,0.079,0.022,2.09,50.2,0.067,7.63,3.91,6,1,0.938,77.4,2.93,0,0,1
147cf764-071e-43e6-88e3-ab959fa0877a,Tech Pioneer,8.532,0.869,0.137,6,8.753,0.651,0.937,79.8,41.61,12.77,23.15,0,Access / Permissions,3.51,0.144,0.0,0.091,0.059,2.07,61.5,0.084,7.81,4.27,5,0,0.933,84.5,2.45,0,0,1
5aaaeba8-8808-4f70-afd0-b5abb7a6be55,Tech Pioneer,8.833,0.887,0.145,5,8.337,0.628,0.918,69.4,68.07,10.84,33.75,1,Access / Permissions,0.54,0.153,0.1,0.073,0.079,2.34,55.6,0.084,7.38,3.91,5,0,1.0,80.0,1.42,0,0,1
84d471fe-cb8c-47cb-9818-205bd97fef01,Tech Pioneer,8.66,0.912,0.088,5,8.552,0.701,0.968,78.8,66.89,10.64,47.08,1,VPN / Network,0.55,0.189,0.1,0.089,0.082,1.37,69.5,0.083,8.59,4.04,10,0,0.878,81.9,3.03,0,0,1
a2f1b993-936a-4ec5-93a0-ae06d9c32992,Tech Pioneer,8.362,0.94,0.093,5,8.732,0.671,0.942,81.8,58.75,17.39,37.84,0,Access / Permissions,1.1,0.002,0.0,0.01,0.024,1.85,37.7,0.031,8.56,4.49,1,0,0.956,90.1,2.99,0,0,1
797fbbc4-e460-463f-9029-e0104eed4ad5,Tech Pioneer,9.072,0.918,0.106,6,7.98,0.63,0.912,74.4,61.54,11.6,31.0,0,Software Install,1.6,0.056,0.0,0.037,0.09,0.93,57.1,0.055,7.29,4.0,7,3,0.913,97.7,4.46,0,0,1
539c0d72-fed2-4fcc-8582-2c396c77cde5,Tech Pioneer,8.489,0.869,0.09,4,8.593,0.646,0.867,71.9,65.13,9.5,34.47,0,Software Install,2.26,0.317,0.0,0.16,0.173,1.17,59.9,0.144,7.45,4.07,6,0,0.923,88.8,3.67,0,0,1
83e76794-2edc-49e2-ba0f-c69226195d8a,Tech Pioneer,8.327,0.825,0.08,5,8.561,0.598,0.873,74.3,48.5,10.15,43.88,0,Access / Permissions,1.07,0.006,0.0,0.011,0.099,2.24,52.8,0.058,7.83,3.93,5,0,0.986,77.6,2.18,1,0,1
aac3f3d0-c781-42b9-81ac-a3b97dcdf54d,Tech Pioneer,8.45,0.867,0.131,6,8.785,0.625,0.906,69.8,56.77,13.3,41.83,0,Password Reset,1.55,0.087,0.0,0.051,0.06,1.32,50.1,0.057,6.98,4.06,6,0,0.935,89.1,4.77,0,0,1
84c3f527-8de4-4a53-a71f-424fd56a095e,Tech Pioneer,7.811,0.835,0.124,5,8.363,0.591,0.844,68.5,67.35,11.23,36.33,0,Password Reset,3.43,0.075,0.0,0.06,0.011,1.38,50.6,0.047,6.62,3.82,10,1,0.937,94.4,4.2,0,0,1
efec656f-612d-401f-a9f9-822ab9dc8807,Tech Pioneer,7.638,0.843,0.206,3,7.801,0.603,0.861,67.0,50.97,8.12,35.43,1,Software Install,0.11,0.137,0.1,0.062,0.011,1.8,57.1,0.052,6.9,4.12,8,0,0.964,81.7,3.62,0,0,1
3fd600a1-9b2b-40c1-8939-70a366ff4413,Tech Pioneer,9.099,0.934,0.01,5,8.873,0.661,1.0,79.7,63.35,12.84,35.26,0,Password Reset,0.59,0.194,0.0,0.092,0.056,2.15,33.3,0.084,7.88,4.11,7,0,0.892,85.1,2.9,0,0,1
af5294a9-1ccc-4b33-8397-6b847b485899,Tech Pioneer,8.578,0.836,0.163,5,8.331,0.604,0.892,76.8,50.15,9.66,31.54,1,Software Install,3.37,0.107,0.1,0.074,0.093,1.27,66.6,0.078,7.9,4.11,4,0,0.868,86.1,2.24,0,0,1
03919582-18bc-4d53-b2b4-698751094ba2,Tech Pioneer,7.608,0.823,0.143,5,8.891,0.642,0.832,71.6,64.73,14.75,49.31,3,Hardware,5.72,0.227,0.3,0.146,0.02,0.5,49.2,0.084,6.8,3.66,8,1,0.858,80.5,2.77,0,0,1
51b1f3d5-3c64-4bc6-8ede-258d70900072,Tech Pioneer,8.67,0.849,0.101,5,8.902,0.63,0.897,79.9,60.71,13.16,35.74,1,VPN / Network,1.7,0.075,0.1,0.047,0.003,1.36,56.5,0.038,8.42,4.09,7,0,0.812,90.5,4.08,0,0,1
9fdb9722-ab69-488c-af2a-3e2517e52b4d,Tech Pioneer,8.192,0.881,0.186,4,8.158,0.668,0.9,54.3,48.08,10.11,46.52,0,Access / Permissions,2.11,0.005,0.0,0.019,0.004,2.4,59.4,0.034,5.64,3.3,4,0,1.0,85.2,4.8,0,0,4
594bfd29-c227-4f1a-9501-93b21baf2c56,Tech Pioneer,7.789,0.754,0.167,5,8.625,0.686,0.84,59.3,70.32,13.56,48.65,1,Access / Permissions,0.3,0.182,0.1,0.084,0.022,1.97,48.7,0.068,6.74,3.6,5,0,0.855,88.9,4.49,1,0,4
50a38ac5-17e0-42e1-91d4-a303513cbac8,Tech Pioneer,8.013,0.884,0.123,6,8.426,0.597,0.978,74.5,55.12,11.14,44.99,0,VPN / Network,1.47,0.082,0.0,0.048,0.037,2.46,53.4,0.06,7.6,4.57,7,2,0.899,79.8,2.66,0,0,1
622cbec8-e929-4222-9fd5-4f0d2a3f1138,Tech Pioneer,8.388,0.863,0.133,5,8.48,0.614,0.886,60.3,54.52,12.71,34.98,0,Software Install,1.94,0.033,0.0,0.03,0.016,1.23,30.6,0.032,6.42,3.39,8,1,0.896,82.9,2.09,0,0,1
02b136cd-8e78-4e0a-91a8-a4ab216d2b51,Tech Pioneer,7.674,0.867,0.039,5,8.148,0.656,0.983,70.9,62.6,11.97,40.83,0,VPN / Network,0.6,0.282,0.0,0.132,0.013,0.98,63.8,0.079,7.31,3.65,6,1,0.925,91.1,3.23,0,0,1
caacbb5b-ff7f-4a1f-b975-b8f3b58c0ff1,Tech Pioneer,8.517,0.879,0.165,5,8.724,0.615,0.908,69.2,70.19,9.31,37.83,0,Hardware,0.83,0.034,0.0,0.022,0.081,2.03,68.0,0.056,6.95,3.92,8,0,0.951,83.4,1.51,0,0,1
7bf27b01-904b-4612-a1dd-436eb94c81bb,Tech Pioneer,7.696,0.851,0.143,5,8.201,0.568,0.851,63.0,52.87,9.71,31.67,0,Software Install,1.22,0.074,0.0,0.043,0.237,1.92,34.6,0.112,7.66,3.3,8,1,0.953,98.1,3.39,0,0,1
3ad77930-e108-4a1e-bca1-44b52f48ea84,Tech Pioneer,7.932,0.879,0.103,5,8.42,0.652,0.917,72.2,61.49,13.06,40.27,0,Hardware,0.05,0.085,0.0,0.039,0.077,1.95,50.1,0.062,7.3,4.0,5,1,0.881,83.2,2.97,0,0,1
0e42363b-c7aa-44b5-bcea-66caf52b0532,Tech Pioneer,7.459,0.854,0.145,5,8.348,0.61,0.914,63.8,64.43,10.33,29.75,0,VPN / Network,1.02,0.053,0.0,0.031,0.104,2.27,40.2,0.07,7.15,3.45,5,0,0.902,87.6,2.68,0,0,1
30d70472-21b2-477b-9cd7-14ca156552a5,Tech Pioneer,8.772,0.894,0.088,4,8.939,0.595,0.842,71.0,66.54,10.19,46.31,0,Hardware,0.56,0.021,0.0,0.014,0.047,2.01,52.9,0.041,6.95,3.88,9,0,0.924,92.5,1.66,0,0,1
325d8d29-32b0-43b3-8d12-a6b9ad569dd5,Tech Pioneer,8.143,0.861,0.132,5,7.963,0.583,0.915,65.8,62.41,9.09,34.75,0,VPN / Network,1.02,0.119,0.0,0.061,0.008,2.0,62.8,0.053,7.07,3.85,8,1,0.898,76.1,3.56,0,0,1
f0c1396f-4c9d-4229-9408-f20fcc5f6886,Tech Pioneer,8.734,0.876,0.116,6,8.83,0.62,0.929,80.3,58.06,11.85,39.41,1,Software Install,0.31,0.051,0.1,0.025,0.016,2.16,66.8,0.039,8.41,4.19,9,0,0.99,73.7,2.62,0,0,1
796245e3-d7f9-4458-a760-f9a04f70a974,Tech Pioneer,9.322,0.891,0.102,5,8.65,0.629,0.885,76.7,54.38,15.13,39.98,0,Training Request,5.37,0.223,0.0,0.141,0.001,2.05,68.5,0.092,7.89,4.25,6,0,0.935,75.3,2.05,0,0,1
a5a2a39f-33a6-4dae-bc78-e9834a651d9f,Tech Pioneer,8.114,0.847,0.147,5,8.563,0.595,0.92,63.4,61.69,8.86,36.19,1,Access / Permissions,2.36,0.41,0.1,0.203,0.052,2.23,70.7,0.139,6.48,3.71,1,0,0.947,94.8,0.51,1,0,1
a7b90910-2fdc-401c-ae49-9de0655c3432,Tech Pioneer,8.156,0.865,0.138,4,8.257,0.615,0.902,66.8,52.42,11.05,42.11,1,Software Install,2.95,0.118,0.1,0.076,0.109,2.3,52.3,0.094,6.91,3.3,8,0,0.943,82.1,3.08,0,0,1
89465553-dbfc-4a61-919d-03c8def9d604,Tech Pioneer,8.522,0.987,0.125,5,8.582,0.615,0.981,71.0,37.63,13.82,34.68,0,Access / Permissions,3.85,0.106,0.0,0.077,0.033,2.57,41.2,0.074,7.23,3.66,5,1,0.969,100.0,4.7,0,0,1
ef8c5235-e171-4cbc-85fa-913bf1e14671,Tech Pioneer,7.107,0.741,0.158,5,8.018,0.636,0.874,63.3,64.49,10.84,44.1,0,App Crash,1.84,0.05,0.0,0.037,0.009,1.48,53.6,0.036,7.66,3.22,4,1,0.919,82.1,4.6,0,0,4
498cfe36-f8b0-41c9-8117-ff6f0a2586a9,Tech Pioneer,8.706,0.91,0.051,5,9.108,0.674,0.921,79.6,68.23,11.9,28.58,0,Access / Permissions,0.2,0.36,0.0,0.163,0.032,2.04,62.6,0.112,8.15,4.58,5,0,0.845,87.3,2.69,0,0,1
19d1baf0-eb4a-4808-905b-d3a1a7306ed6,Tech Pioneer,8.418,0.849,0.18,5,8.242,0.583,0.859,85.3,42.1,8.88,38.88,0,Access / Permissions,2.12,0.023,0.0,0.027,0.011,1.61,40.3,0.033,8.89,4.39,5,1,0.93,96.8,2.56,0,0,1
d89c82ff-bd62-4773-ae6d-baad7bc44652,Power User,5.911,0.747,0.321,3,7.609,0.661,0.829,38.7,73.09,17.53,51.43,1,Access / Permissions,5.08,0.149,0.1,0.106,0.125,2.85,72.8,0.119,4.49,2.83,8,0,0.731,69.7,4.7,0,0,4
fa6c5238-8a9e-45f7-99cb-032c2c3055e8,Power User,7.341,0.775,0.13,4,7.956,0.684,0.9,57.4,76.68,14.65,41.2,0,Hardware,0.14,0.134,0.0,0.062,0.089,2.61,67.0,0.083,5.24,3.39,2,0,0.683,82.8,3.79,0,0,4
41fd4be1-258f-4879-85bb-4350d159e8b3,Power User,8.017,0.945,0.192,5,8.505,0.72,0.914,80.2,64.04,15.71,51.36,2,Software Install,1.9,0.201,0.2,0.105,0.001,2.41,79.7,0.077,8.53,4.11,6,0,0.84,90.8,3.42,0,0,1
6d4723b7-5503-4de7-a544-378321d9c9e2,Power User,8.173,0.832,0.342,4,7.793,0.704,0.8,51.8,84.05,13.87,55.06,2,App Crash,2.1,0.062,0.2,0.044,0.13,1.82,52.7,0.079,5.65,2.98,8,1,0.9,100.0,3.14,0,0,4
37576c84-0eff-4567-ad30-d82a8b0326e7,Power User,6.71,0.735,0.231,4,8.113,0.688,0.872,54.0,55.2,11.29,55.79,0,Software Install,1.25,0.355,0.0,0.169,0.131,2.55,51.7,0.149,6.34,3.21,3,0,0.746,87.2,1.64,0,0,4
e5290261-5bf5-4bce-98e8-9146ec08be56,Power User,8.177,0.807,0.154,5,8.233,0.653,0.884,60.4,60.61,14.63,30.41,0,VPN / Network,1.36,0.012,0.0,0.016,0.054,1.26,77.3,0.037,6.0,3.16,5,0,0.893,96.2,1.89,0,0,4
5265774a-c73e-4cdd-8da1-c85ef02a22ef,Power User,8.927,0.875,0.063,5,8.273,0.731,0.946,76.0,83.92,12.79,38.72,0,VPN / Network,1.7,0.037,0.0,0.03,0.008,2.73,68.0,0.045,6.57,4.01,11,0,0.867,71.1,5.89,0,0,1
405efcd7-1849-4949-b475-a8fc7ab0565c,Power User,7.79,0.827,0.287,4,7.564,0.69,0.773,52.6,76.9,13.94,49.84,0,Password Reset,0.59,0.189,0.0,0.09,0.007,1.38,40.4,0.061,5.85,3.32,3,1,0.923,100.0,5.53,0,0,4
c4b68548-8d0c-4d61-b36e-7505e4959eed,Power User,8.605,0.783,0.256,5,7.907,0.666,0.871,60.6,96.4,10.63,49.98,2,Software Install,2.7,0.177,0.2,0.1,0.135,2.27,54.4,0.113,6.57,2.99,7,0,0.792,65.2,3.17,0,0,4
bd69254d-f714-49b4-86ba-ef15c3997fbd,Power User,7.346,0.799,0.233,4,8.105,0.736,0.888,50.1,71.68,14.17,65.24,0,Training Request,4.87,0.317,0.0,0.18,0.084,1.59,67.4,0.131,4.84,3.31,5,1,0.91,77.5,4.8,0,0,4
8a1e6a14-8abb-4381-97d4-ab625c463970,Power User,8.651,0.836,0.18,5,8.031,0.722,0.874,67.9,88.0,12.7,36.83,0,Training Request,3.96,0.103,0.0,0.076,0.002,2.43,73.7,0.063,6.72,3.94,3,1,0.851,87.0,4.36,0,0,4
67f4879d-f852-4bc7-9c4d-694e6cd245cb,Power User,7.023,0.845,0.236,5,8.26,0.685,0.845,55.1,52.43,13.58,55.51,2,VPN / Network,0.5,0.172,0.2,0.081,0.036,2.08,52.5,0.072,7.06,3.11,2,0,0.964,67.6,4.49,1,0,4
b3e4eef2-b2e5-42f8-822e-1b00e0a613c9,Power User,7.537,0.804,0.224,5,8.036,0.679,0.879,56.8,56.86,12.79,48.35,3,Password Reset,0.49,0.32,0.3,0.148,0.008,1.14,21.2,0.088,5.99,3.38,10,1,1.0,73.7,2.23,0,0,4
1d88fcc5-fcb5-4cc6-baef-7834b9cd0036,Power User,8.767,0.864,0.204,5,8.826,0.715,0.854,80.7,79.96,12.31,30.24,0,Software Install,0.88,0.012,0.0,0.012,0.049,2.35,69.3,0.044,8.55,4.23,7,0,0.948,72.2,1.81,0,0,1
f26e9e3b-deaf-4eb7-8a14-080d26f79277,Power User,6.799,0.837,0.248,5,7.908,0.706,0.87,55.3,53.6,14.21,40.07,0,VPN / Network,1.4,0.048,0.0,0.032,0.09,1.75,44.9,0.061,5.72,3.46,2,0,0.874,79.2,5.1,0,0,4
56211c6e-90d0-4612-aa8f-8277c2b5789c,Power User,7.771,0.832,0.234,4,8.327,0.74,0.852,62.8,69.03,11.98,47.36,0,Training Request,1.6,0.045,0.0,0.032,0.0,2.63,33.8,0.043,5.81,3.71,6,0,1.0,94.8,1.62,0,0,4
c4ded75f-a126-458c-b191-108dd77129f3,Power User,7.988,0.773,0.159,4,7.764,0.668,0.91,78.3,82.67,9.03,29.66,1,Software Install,3.1,0.251,0.1,0.137,0.022,2.1,22.3,0.096,7.98,3.85,6,1,0.882,82.2,3.64,0,0,4
2babc70a-43d9-4a2e-9236-c452691f7319,Power User,6.603,0.71,0.218,4,7.196,0.644,0.812,51.5,76.01,8.32,26.33,0,Access / Permissions,0.18,0.088,0.0,0.041,0.011,2.34,73.4,0.047,5.53,3.18,6,2,0.776,77.8,3.4,0,0,4
f228f45f-4c6a-475b-9c1d-c66307c51751,Power User,7.394,0.807,0.217,5,8.156,0.661,0.848,42.2,71.11,13.46,29.15,3,Software Install,0.1,0.176,0.3,0.08,0.083,1.53,63.8,0.08,4.64,2.65,5,0,0.837,56.0,3.29,0,0,4
cbd88869-40cf-4678-9a74-96a847226ce2,Power User,7.743,0.789,0.236,4,7.818,0.681,0.861,60.2,66.51,11.88,47.33,1,Training Request,1.54,0.242,0.1,0.121,0.158,1.75,58.8,0.125,6.37,3.42,6,0,0.893,86.2,4.15,0,0,4
72882180-6041-4378-ad97-ce9ddd5bf198,Power User,7.08,0.803,0.334,4,7.766,0.637,0.792,42.4,73.02,8.68,40.64,0,VPN / Network,4.29,0.07,0.0,0.064,0.088,1.82,81.4,0.077,4.92,2.55,4,0,0.898,89.1,3.05,0,0,4
59a213b8-83d1-47f8-87ce-47b44c3ba71e,Power User,8.259,0.934,0.252,5,8.13,0.662,0.874,55.0,76.77,13.27,39.42,0,Access / Permissions,0.67,0.075,0.0,0.039,0.028,2.61,70.9,0.054,5.89,3.55,5,0,0.761,66.7,4.24,0,0,1
16b0df7b-0dd6-4cfd-80cc-bb3393ed0db2,Power User,7.988,0.784,0.228,6,8.017,0.672,0.889,54.4,64.39,12.77,39.73,0,VPN / Network,3.05,0.075,0.0,0.057,0.237,3.11,84.6,0.131,5.39,3.39,5,1,0.763,81.4,3.96,0,0,4
09816979-3090-4e3d-9b38-7f99dedf2235,Power User,7.444,0.775,0.128,4,8.323,0.665,0.775,51.7,74.72,11.75,32.18,0,Hardware,0.75,0.019,0.0,0.014,0.018,1.62,42.5,0.029,5.85,2.92,8,0,0.816,83.7,6.11,0,0,4
fffe99f1-7aa6-4d88-ac34-1ec722deb892,Power User,6.701,0.805,0.379,5,8.188,0.721,0.8,38.4,81.78,13.62,40.89,1,Software Install,8.13,0.07,0.1,0.094,0.022,2.75,61.5,0.081,3.68,2.27,4,0,0.877,90.7,2.28,0,0,4
961066c1-1eae-4e7a-a47d-677c9deb879d,Power User,7.406,0.785,0.271,4,7.784,0.681,0.806,54.9,68.78,16.29,28.62,2,Software Install,7.43,0.169,0.2,0.133,0.062,0.8,39.4,0.093,5.12,3.12,5,1,0.886,75.5,3.83,0,0,4
438d3214-eb4e-4747-b364-0f45e957d738,Power User,7.972,0.816,0.142,4,8.153,0.686,0.882,64.1,71.68,16.21,55.69,0,Training Request,0.92,0.049,0.0,0.029,0.136,1.38,58.8,0.069,7.06,3.65,8,1,0.85,74.1,4.27,1,0,4
2e77dc49-396e-4da3-af09-73ef06159880,Power User,7.519,0.922,0.184,5,7.905,0.767,1.0,67.2,75.84,13.36,60.23,0,Training Request,0.74,0.128,0.0,0.063,0.05,1.52,58.5,0.062,7.25,3.74,6,1,0.782,77.9,3.52,0,0,1
e0efa8f1-91c4-4e03-bbef-ad860beb1fb1,Power User,7.301,0.796,0.233,4,8.079,0.674,0.85,56.9,76.51,12.79,24.07,1,Access / Permissions,1.61,0.052,0.1,0.036,0.01,1.29,70.8,0.034,6.1,3.53,4,1,0.962,93.6,2.33,0,0,4
b01f34f8-1f1b-42f5-b8fd-8b35ff6972ea,Power User,8.561,0.832,0.249,3,7.687,0.699,0.782,47.5,79.78,13.39,40.78,0,Hardware,0.88,0.093,0.0,0.048,0.063,1.15,62.6,0.055,4.72,3.06,6,0,0.765,91.4,5.18,0,0,4
ce0fb70a-54d0-4641-bf3b-a0bc7189da7c,Power User,7.201,0.776,0.232,5,7.956,0.631,0.799,49.6,60.86,13.77,41.36,0,Access / Permissions,3.42,0.093,0.0,0.068,0.049,2.35,70.7,0.072,5.18,3.18,8,0,0.931,81.8,4.17,0,0,4
dda170ef-5763-473a-9e4f-c58e2c9653ac,Power User,7.212,0.84,0.266,4,7.752,0.666,0.842,54.4,65.71,12.33,43.43,2,Password Reset,5.76,0.121,0.2,0.098,0.011,1.97,71.8,0.072,5.79,3.24,7,1,0.892,91.2,2.41,0,0,4
19681335-222e-4a03-94cb-3c35ebf8c71a,Power User,6.9,0.731,0.275,4,7.747,0.679,0.824,52.2,66.08,13.44,54.01,4,VPN / Network,3.66,0.156,0.4,0.098,0.017,2.33,92.2,0.077,5.06,2.81,9,1,0.93,60.7,4.28,0,0,4
a7d21634-120b-4b29-8bf6-6d26f566dd38,Power User,8.083,0.816,0.203,5,7.632,0.68,0.881,61.6,61.96,9.07,40.8,2,Software Install,5.1,0.129,0.2,0.097,0.105,2.51,57.6,0.105,6.25,3.42,4,0,0.809,89.1,5.67,0,0,4
ffc954b3-35d5-456e-b5bd-01660d0d22ad,Power User,7.85,0.81,0.274,5,8.189,0.659,0.828,49.6,53.02,13.2,44.21,1,Hardware,1.62,0.311,0.1,0.152,0.023,2.26,48.8,0.106,5.73,3.2,5,0,0.83,71.9,3.76,0,0,4
61adc7d8-c67e-47f5-8cc8-9bb01afd3909,Power User,9.334,0.838,0.237,4,8.384,0.73,0.964,82.0,38.46,14.19,71.81,2,VPN / Network,0.51,0.221,0.2,0.103,0.013,2.49,65.4,0.08,8.95,4.27,6,0,0.844,97.9,3.8,0,0,4
2bfedcc0-4f9b-4efb-8ca4-d24acb846591,Power User,6.934,0.756,0.307,3,7.467,0.695,0.808,58.1,82.95,11.78,44.0,2,Software Install,4.68,0.03,0.2,0.049,0.212,2.06,50.8,0.109,6.06,3.42,3,0,0.807,72.4,5.52,0,0,4
a71a1389-0838-4ad1-9b7f-21cf999e48c9,Power User,6.133,0.699,0.291,4,8.06,0.695,0.831,54.5,55.46,12.76,60.9,1,App Crash,1.5,0.122,0.1,0.066,0.045,1.39,82.7,0.061,6.21,3.12,8,0,0.856,74.3,2.73,0,0,4
47246596-6374-4407-9ca0-659701be62dc,Power User,7.981,0.857,0.183,5,7.714,0.719,0.929,64.5,86.67,10.22,49.52,0,Access / Permissions,3.11,0.128,0.0,0.081,0.018,2.73,58.0,0.073,6.04,3.37,3,1,0.951,87.1,5.7,1,0,4
192d6807-d9d1-4f38-afe3-751e1b9b0650,Power User,8.039,0.744,0.206,4,7.211,0.673,0.851,58.3,78.39,9.87,40.02,1,VPN / Network,0.95,0.022,0.1,0.017,0.05,1.75,54.1,0.041,6.51,3.31,6,2,0.749,87.9,4.87,0,0,4
7b9baf00-3acf-4d37-9427-26c16f1a378b,Power User,7.247,0.806,0.269,4,8.193,0.675,0.812,50.4,66.94,13.53,38.51,0,Software Install,0.27,0.127,0.0,0.059,0.074,1.54,55.4,0.067,5.21,3.08,8,0,0.794,78.0,2.78,0,0,4
6579fdd9-6efe-4607-931e-bed41c6d53b7,Power User,8.428,0.972,0.155,6,9.063,0.71,0.912,66.3,77.16,11.18,44.93,1,Software Install,12.57,0.11,0.1,0.146,0.027,1.99,72.1,0.101,7.09,3.52,7,0,0.786,85.3,3.06,0,0,1
